Artikelnummer;Beskrivning;Artikel ersatt av;Artikel har utgått;Cirkapris exkl.moms;Gammalt Klippo,Gardena nr;EAN kod;
506 29 31-04;VATTENSLANGSATS, W GREY HOSE;;0;239.0;;7391883221631;
506 29 41-01;STOPSCREW;;0;120.0;;7391883276105;
506 29 42-01;CYLINDER KPL, INGÅR I KIT;;0;3096.0;;7392930190146;
506 29 45-01;SUPPORT;;0;107.0;;7391883276129;
506 29 56-01;NIPPEL VINKEL M SKRUV;;0;47.0;;7391883276143;
506 29 57-02;NIPPEL KPL.;;0;95.0;;7391883276150;
506 29 64-01;PLUG;;0;29.0;;7391883276181;
506 29 75-02;STARTHANDTAG;;0;95.0;;7391883276204;
506 29 76-02;AXELREM;;0;365.0;;7391883719732;
506 29 78-01;HANDTAG;;0;721.0;;7391883276211;
506 29 78-02;HANDTAG;;0;673.0;;7392930601864;
506 29 79-01;SKYDDSPLÅT;;0;88.0;;7391883276228;
506 29 83-63;AXEL;;0;99.0;;7391883276242;
506 29 83-65;AXEL;;0;266.0;;7391883489581;
506 29 83-71;AXEL;;0;123.0;;7391883276259;
506 29 88-01;SCREEN;;0;61.0;;7391883276273;
506 29 96-01;TOOL KIT;;0;114.0;;7391883276280;
506 30 07-01;KNOB;;0;911.0;;7391883276303;
506 30 09-01;CATCH, KIT;;0;49.0;;7391883276327;
506 30 10-01;THROTTLE TRIGGER;;0;206.0;;7391883276334;
506 30 11-14;SEALING,KIT;;0;85.0;;7391883276358;
506 30 13-01;HOUSING;;0;398.0;;7391883276372;
506 30 15-01;PLUG;;0;39.0;;7391883276396;
506 30 33-01;DISTANSHYLSA;;0;68.0;;7391883276464;
506 30 33-02;DISTANSHYLSA;;0;57.0;;7391883276471;
506 30 34-01;CARRIER;;0;29.0;;7391883276488;
506 30 35-01;STÖTSKYDD;;0;29.0;;7391883276495;
506 30 39-01;STOPPSKRUV;;0;53.0;;7391883276518;
506 30 66-01;HOLDER;;0;605.0;;7391883276631;
506 30 70-01;BYGEL;;0;54.0;;7391883276648;
506 30 72-01;BYGEL;;0;58.0;;7391883276655;
506 30 73-01;FÄSTE;;0;360.0;;7391883276662;
506 30 85-01;TANKLOCK;;0;88.0;;7391883276723;
506 30 86-01;FÄSTE;;0;132.0;;7391883276730;
506 30 88-01;KOPPLING;;0;197.0;;7391883276754;
506 30 97-05;DEKAL;;0;39.0;;7391883576410;
506 31 08-02;LÅDA, PLYWOOD HVA 1250/960/K75;;0;2225.0;;7392930604506;
506 31 22-02;MEDBRINGARE;;0;226.0;;7392930600546;
506 31 28-01;PLATE;;0;44.0;;7391883276815;
506 31 30-01;DEKAL;;0;43.0;;7391883578025;
506 31 38-01;INSATS;;0;29.0;;7391883276822;
506 31 42-02;SLANG;;0;286.11;;7391883207079;
506 31 45-01;PIPE;;0;41.0;;7391883276877;
506 31 52-01;HÅLLARE;;0;82.0;;7391883276907;
506 31 54-01;HÅLLARE;;0;115.0;;7391883276914;
506 31 58-01;BRACKET;;0;301.0;;7391883276938;
506 31 59-01;BRACKET;;0;123.0;;7391883276945;
506 31 61-01;COVER;;0;156.0;;7391883276969;
506 31 63-01;PLATTA;;0;55.0;;7391883276976;
506 31 67-01;ROLLER;;0;2177.0;;7391883276990;
506 31 68-01;DISTANSHYLSA;;0;76.0;;7391883277010;
506 31 68-02;DISTANSHYLSA;;0;59.0;;7391883277027;
506 31 69-01;DAMMSKYDD;;0;33.0;;7391883277034;
506 31 71-04;LAGERHÅLLARE;;0;2208.0;;7391883216170;
506 31 74-01;BUSHING;;0;17.0;;7391883277058;
506 31 77-11;VALVE  COMPL;;0;118.0;;7391883277065;
506 31 77-31;VENTIL COMPL;;0;147.2;;7391883109793;
506 31 86-04;STOP SWITCH GRÅ;;0;59.0;;7391736231824;
506 31 88-01;KNUCKLE;;0;22.0;;7391883277089;
506 31 95-01;RATT;;0;33.0;;7391883277102;
506 31 96-01;BRACKET;;0;41.0;;7391883277119;
506 32 00-01;SHAFT;;0;118.0;;7391883277126;
506 32 00-02;SHAFT;;0;135.0;;7391883277133;
506 32 01-01;PIN;;0;157.0;;7391883277140;
506 32 02-01;PACKNING;;0;30.0;;7391883277157;
506 32 03-01;PACKNING;;0;30.0;;7391883277164;
506 32 06-01;TÄTNING STÖDFLÄNS;;0;34.0;;7391883277171;
506 32 12-01;REPAIR KIT;;0;284.0;;7391883277188;
506 32 15-03;FÖRGASARE;;0;1312.0;;7391883277195;
506 32 17-01;SEALING;;0;17.0;;7391883277201;
506 32 22-02;DEKAL;;0;80.0;;7392930602823;
506 32 23-01;SLEEVE;;0;46.0;;7391883277256;
506 32 24-01;SHAFT;;0;64.0;;7391883277263;
506 32 28-01;SHAFT;;0;69.0;;7391883277300;
506 32 30-01;LOOP;;0;159.0;;7391883277324;
506 32 32-01;KNOB;;0;29.0;;7391883277348;
506 32 36-01;WASHER;;0;22.0;;7391883277362;
506 32 43-02;STYRRULLE 2-SPÅR;;0;722.0;;7391883277393;
506 32 45-01;PLUGG;;0;38.0;;7391883277416;
506 32 47-01;SCREW;;0;19.0;;7391883277423;
506 32 48-01;STÖDFLÄNS;;0;71.0;;7391883277430;
506 32 62-01;KUGGHJUL KPL;;0;218.0;;7393080433817;
506 32 62-02;KOPPLINGSTRUMMA KIT;;0;441.0;;7391736289658;
506 32 63-02;VATTENTANK, PRESSURE HVA;;0;1290.0;WATERTANK;7392930604438;
506 32 75-01;ADAPTER;;0;775.0;;7392930036499;
506 32 80-01;SPÄRRKNAPP;;0;48.0;;7391883277454;
506 32 87-01;TUBE, Y;;0;25.0;;7391883277461;
506 32 89-34;VATTENSLANGPAKET;;0;365.0;;7392930037373;
506 32 89-51;VÅTKAPSATS;;0;348.0;;7391883277485;
506 32 90-01;SLANGSATS KPL.;;0;267.0;;7391883277492;
506 32 91-02;REMSKYDD;;0;54.0;;7391883277508;
506 32 91-03;REMSKYDD;;0;209.0;;7391883229835;
506 32 95-05;SVÄRDFÄSTE;;0;272.0;;7391883277522;
506 32 96-01;HANDTAG;;0;871.0;;7391883277539;
506 33 08-01;BUSSNING;;0;136.0;;7391883277546;
506 33 16-01;SUPPORT BUSHING;;0;34.0;;7391883277553;
506 33 23-01;RÖR;;0;45.0;;7391883277560;
506 33 24-01;SKYDD;;0;52.0;;7391883277577;
506 33 25-05;KOPPLINGSKÅPA;;0;868.0;;7391883277591;
506 33 28-01;LÅSBRICKA;;0;89.0;;7391883277607;
506 33 29-01;RING;;0;44.0;;7391883277614;
506 33 32-01;PLATTA;;0;169.0;;7391883277621;
506 33 34-02;LUCKA;;0;173.0;;7392930601932;
506 33 35-01;LOCK;;0;68.0;;7391883277652;
506 33 38-01;KOPPLING  KPL;;0;673.0;;7391883277669;
506 33 42-01;RINGDREV;;0;270.0;;7391883277676;
506 33 44-01;STÖDKOPP;;0;139.0;;7391883277683;
506 33 45-01;PLATTA;;0;43.0;;7391883277690;
506 33 46-01;STÄNKSKYDD;;0;226.0;;7391883277706;
506 33 46-02;STÄNKSKYDD ICS;;0;342.0;;7391883664599;
506 33 49-02;HYLSA;;0;71.0;;7391883277737;
506 33 49-03;DISTANSRÖR;;0;91.0;;7392930600447;
506 33 51-01;RULLE;;0;266.0;;7391883277744;
506 33 52-02;DISTANS;;0;49.0;;7391883202104;
506 33 53-01;ARM;;0;41.0;;7391883277751;
506 33 54-01;DISTANS;;0;129.0;;7391883277775;
506 33 56-15;STARTER ROPE;;0;114.0;;7391883277782;
506 33 56-25;STARTER ROPE;;0;118.0;;7391883277799;
506 33 56-50;STARTER ROPE 50M;;0;3333.0;;7391883277805;
506 33 57-02;HANDTAG;;0;641.0;;7391883566992;
506 33 58-01;SUPPORT;;0;44.0;;7391883277829;
506 33 59-01;SUPPORT;;0;42.0;;7391883277836;
506 33 60-01;SUPPORT;;0;41.0;;7391883277843;
506 33 61-01;SUPPORT;;0;41.0;;7391883277850;
506 33 65-01;TÄTRING;;0;34.0;;7391883277881;
506 33 68-01;BRACKET;;0;27.0;;7391883277898;
506 33 69-01;BRACKET;;0;27.0;;7391883277904;
506 33 87-03;SKENA WA 20 1-METER;;0;1562.0;;7392930036512;
506 33 94-01;COVER;;0;32.0;;7391883277928;
506 33 95-01;FJÄDER;;0;25.5;;7391883277935;
506 33 96-01;BULT;;0;11.5;;7391883277942;
506 33 97-01;DECAL;;0;24.0;;7391883277959;
506 34 04-01;HANDSKYDD;;0;184.0;;7391883277980;
506 34 05-01;SPRÄNGSKYDD KPL CHROME 12";;0;1469.0;;7391736179034;
506 34 05-12;SPRÄNGSKYDD;;0;1448.0;;3015272221241;
506 34 05-14;SPRÄNGSKYDD;;0;1510.0;;3015272222033;
506 34 05-42;SPRÄNGSKYDD KPL, 12" GREY;;0;1458.0;;7391883200858;
506 34 05-44;SPRÄNGSKYDD KPL, 14" GREY;;0;1562.0;;7391883200865;
506 34 05-46;SPRÄNGSKYDD KPL, 16" GREY;;0;1792.0;;7391883200872;
506 34 05-54;SPRÄNGSKYDD KPL, 14" CHROME;;0;1562.0;;7391883200896;
506 34 05-56;SPRÄNGSKYDD KPL, 16" CHROME;;0;1802.0;;7391883200902;
506 34 06-01;PACKNING;;0;33.0;;7391883277997;
506 34 07-01;KYLPLÅT;;0;64.0;;7391883278000;
506 34 09-11;DRIVHJUL KPL;;0;384.0;;7391883278017;
506 34 10-04;SPAK;;0;493.0;;7391883278024;
506 34 13-71;ENGINE SET K650-111;;0;4315.0;;7392930036314;
506 34 14-01;KYLPLÅT;;0;88.0;;7391883278048;
506 34 28-02;CRANKCASE;;0;3062.0;;7391883278055;
506 34 30-01;KYLPLÅT ,KIT;;0;182.0;;7391883278062;
506 34 39-01;AVSTRYKARE;;0;41.0;;7391883278079;
506 34 40-01;GASKET;;0;74.0;;7391883278086;
506 34 45-01;SEALING RING;;0;201.0;;7391883278093;
506 34 46-02;HANDTAG;;0;45.0;;7391883278116;
506 34 56-01;PROTECTOR;;0;176.0;;7391883278123;
506 34 56-02;SKYDD;;0;39.0;;7392930602960;
506 34 62-02;SVÄRD;;0;3110.0;;7392930601888;
506 34 63-01;BRICKA;;0;25.0;;7391883278130;
506 34 64-01;SKRUV (SPECIAL);;0;29.0;;7391883278147;
506 34 67-14;DRIVAXEL , SATS;;0;1844.0;;7391883278161;
506 34 67-15;DRIVAXEL SATS;;0;1625.0;;7391883278178;
506 34 70-02;LUFTFILTER;;0;345.0;;7391883278185;
506 34 72-01;ARM;;0;48.0;;7391883278192;
506 34 74-06;REM;;0;203.0;;7391883278208;
506 34 74-21;REM;;0;232.0;;7391883077160;
506 34 74-38;BELT;;0;276.0;;7391883278239;
506 34 76-03;TRYCKFJÄDER;;0;70.0;;7391883493892;
506 34 78-01;PULLEY;;0;354.0;;7391883278253;
506 34 88-01;GASKET SET;;0;83.0;;7391883278284;
506 34 90-01;PLUGG;;0;29.0;;7391883278291;
506 34 91-01;FÄSTE;;0;67.0;;7391883278307;
506 35 08-03;HANDTAGSHALVA HÖ;;0;342.0;;7391883278338;
506 35 08-05;HANDTAGSHALVA HÖ;;0;532.0;;7392930603059;
506 35 10-01;VEVAXEL  KPL;;0;2354.0;;7391883278352;
506 35 13-01;VRED  KPL;;0;471.0;;7391883278369;
506 35 13-02;VRED;;0;292.0;;7391883278376;
506 35 15-01;DRIVAXEL KPL;;0;742.0;;7391883833834;
506 35 15-03;DRIVE SHAFT  KPL;;0;432.8;;7391736385794;
506 35 18-07;LEVER ASSY;;0;3188.0;;7391883206812;
506 35 19-03;SLITSKYDD;;0;155.0;;7391883206911;
506 35 20-05;STYRRULLE;;0;532.0;;7392930600041;
506 35 21-03;STÖDRULLE;;0;420.0;;7391736021609;
506 35 22-05;STÄNKSKYDD KPL;;0;995.0;;7391883206829;
506 35 23-04;DRIVHJUL KPL;;0;1125.0;;7392930605763;
506 35 25-01;SLANG;;0;125.0;;7391883278413;
506 35 27-01;FJÄDER;;0;28.0;;7391883278437;
506 35 27-02;SKYDDSFJÄDER;;0;31.0;;7392930605640;
506 35 32-01;FJÄDER;;0;12.0;;7392930195004;
506 35 33-01;SPRING CPL;;0;65.0;;7391883278444;
506 35 37-01;SUPPORT;;0;41.0;;7391883278451;
506 35 39-01;DISTANSHYLSA;;0;37.6;;7391883109854;
506 35 40-01;TÄTNINGSBRICKA;;0;26.4;;7391883109861;
506 35 41-71;STARTAPPARAT  KPL;;0;605.6;;7391883109878;
506 35 44-02;SLITSKYDD;;0;98.0;;7392930601925;
506 35 47-01;REMHJUL;;0;354.0;;3015272218395;
506 35 52-01;NYCKEL 19M/M;;0;22.0;;7391883278499;
506 35 54-02;FÖNSTER;;0;89.0;;7391883278512;
506 35 54-03;FÖNSTER;;0;102.0;;7392930601819;
506 35 72-03;HANDTAG KPL;;0;1583.0;;7392930601543;
506 35 72-04;HANDTAG KPL;;0;1448.0;;7392930602571;
506 35 73-01;GREPP;;0;43.0;;7391883278529;
506 35 73-02;GREPP;;0;43.0;;7392930602090;
506 35 80-01;FÄSTKLIPS;;0;252.0;;7391883278536;
506 35 81-01;DRIVHJUL KPL;;0;384.0;;7391883278543;
506 35 87-01;SKYDDSSLANG;;0;13.0;;7392930190542;
506 35 90-01;KABLAGE;;0;627.0;;7391883278550;
506 35 91-03;STOPPKONTAKT (VÄNSTER);;0;462.0;;7391883184059;
506 35 91-04;STOPPKONTAKT   (HÖGER);;0;465.0;;7391883184066;
506 35 94-03;SPÄNNSKRUV KPL;;0;471.0;;7392930600157;
506 35 95-01;GASSTÅNG;;0;66.0;;7391883278574;
506 35 96-01;DISTANS;;0;49.0;;7391883278581;
506 36 03-01;GASREGLAGE;;0;124.0;;7391883278642;
506 36 09-01;FÄSTE;;0;90.0;;7391883278697;
506 36 16-01;GASWIRE KPL;;0;308.0;;7391883278765;
506 36 16-02;GASWIRE;;0;198.0;;7391883278772;
506 36 19-01;GASREGLAGE  KPL;;0;490.0;;7392930035607;
506 36 20-01;GASREGLAGE  KPL;;0;325.6;;7391883278789;
506 36 21-02;DEKAL;;0;110.0;;7391883278796;
506 36 24-01;FÄSTE  KPL;;0;431.2;;7391883829912;
506 36 26-02;NIPPEL, VARYING THREAD DIAMETE;;0;82.0;;7391883188262;
506 36 36-01;L-NYCKEL, INSEX NV 6;;0;10.5;;7391883278888;
506 36 38-02;VERKTYGSSATS;;0;88.0;;7391883278895;
506 36 38-04;VERKTYG, KIT, K960RING (T27);;0;219.0;;7391883205556;
506 36 52-01;INSUGSKRÖK;;0;60.0;;7391883278932;
506 36 68-01;FILTERKÅPA;;0;375.0;;7391883278949;
506 36 68-02;FILTERKÅPA;;0;236.0;;7392930602427;
506 36 69-02;FILTERBOTTEN;;0;291.0;;7392930602434;
506 36 69-03;FILTERBOTTEN;;0;299.0;;7392930604629;
506 36 70-01;CYLINDERKÅPA;;0;169.0;;7391883278956;
506 36 70-02;CYLINDERKÅPA;;0;171.0;;7392930602403;
506 36 70-03;CYLINDERKÅPA, GREY PURGE;;0;162.0;;7391883204139;
506 36 71-01;FÖRFILTER SKUMPLAST;;0;203.0;;7391883278963;
506 36 72-03;LUFTFILTER PAPPER;;0;302.0;;7392930601635;
506 36 75-01;GASREGLAGE;;0;822.0;;7391883278970;
506 36 80-01;MELLANLÄGG;;0;42.0;;7391883278987;
506 36 81-02;LINHJUL SATS;;0;120.0;;7391883278994;
506 36 83-06;CHASSI;;0;5938.0;;7391883225615;
506 36 88-01;FÄSTE INSUGSPLATTA;;0;35.0;;7391883279014;
506 36 92-03;STARTKÅPA;;0;180.0;;7392930602281;
506 37 02-01;KÅPA KYLLUFT;;0;93.0;;7391883825884;
506 37 03-01;LUFTMUNSTYCKE;;0;41.0;;7391883279052;
506 37 06-01;FLÄNS INSUGSRÖR LUFT;;0;32.0;;7391883279083;
506 37 11-01;HANDTAG FRÄMRE;;0;1062.0;;7391883279090;
506 37 11-03;HANDTAG FRÄMRE;;0;1062.0;;7392930602373;
506 37 13-02;GASSTÅNG;;0;62.0;;7391883683767;
506 37 19-02;BOTTENPLATTA;;0;100.0;;7392930602083;
506 37 20-04;GASREGLAGE;;0;19.0;;7391883201831;
506 37 24-03;PISTON ASSY;;0;977.0;;7393089006920;
506 37 27-02;REM;;0;203.0;;7393080394460;
506 37 27-04;KILREM;;0;232.0;;7391883279144;
506 37 27-20;REM;;0;232.0;;7391883279151;
506 37 27-21;REM;;0;232.0;;7391883279168;
506 37 27-23;REM;;0;232.0;;7391883279175;
506 37 27-27;REM;;0;232.0;;7391883279182;
506 37 27-28;REM;;0;232.0;;7391883279199;
506 37 46-02;FLÄNSBRICKA;;0;169.0;;7391883279229;
506 37 47-01;TÄTNING;;0;76.5;;7391883279236;
506 37 48-01;TÄTNINGSHÅLLARE;;0;133.0;;7391883279243;
506 37 49-01;HYLSA;;0;106.0;;7391883279250;
506 37 50-02;DISTANSHYLSA;;0;60.0;;7391883279267;
506 37 53-01;AVDRAGARE,(HYLSA);;0;320.0;;7391883279274;
506 37 54-01;MOTHÅLL, LAGERVERKTYG;;0;269.0;;7391883591239;
506 37 55-01;MARKSTÖD FRÄMRE K-SIDAN;;0;48.0;;7391883279281;
506 37 55-02;MARKSTÖD;;0;48.0;;7392930602311;
506 37 56-01;MARKSTÖD FRÄMRE S-SIDAN;;0;45.0;;7391883279298;
506 37 56-02;MARKSTÖD;;0;46.0;;7392930602328;
506 37 60-01;DORN, LAGERVERKTYG;;0;252.0;;7391883591253;
506 37 61-02;VERKTYG LAGERPRESS;;0;694.0;;7391883187623;
506 37 63-01;DISTANS;;0;29.0;;7391883279304;
506 37 64-01;BUSSNING;;0;61.0;;7391883279311;
506 37 67-01;PACKNING CYLINDER FOT;;0;33.0;;7391883279335;
506 37 67-02;PACKNING CYLINDER;;0;41.0;;7392930604377;
506 37 68-01;PACKNING FÖRGASARE;;0;30.0;;7391883279342;
506 37 68-04;PACKNING FÖRGASARE;;0;25.0;;7391883620564;
506 37 70-02;PACKNING VEVHUS;;0;33.0;;7392930600188;
506 37 70-03;PACKNING VEVHUS;;0;33.0;;7392930601109;
506 37 72-01;FJÄDERFÄSTE;;0;35.0;;7391883279359;
506 37 74-01;REMHJUL (SATS);;0;354.0;;7391883279366;
506 37 76-02;GASREGLAGE, ASSY K3600MKII GRE;;0;159.0;;7392930602601;
506 37 80-01;GENOMFÖRING CHOKE;;0;27.0;;7391883279380;
506 37 83-03;DRIVHJULSSATS KPL.;;0;465.0;;7392930601222;
506 37 85-01;KABLAGE STÖRMBRYTARE;;0;56.0;;7391883279403;
506 37 88-80;CHASSI;;0;654.0;;;
506 37 93-02;DISTANSHYLSA, TÄTNING;;0;154.0;;7391883279427;
506 37 96-20;BUSSNING D20 GUL;;0;78.0;;7391883279441;
506 37 96-22;BUSSNING D22,2;;0;78.0;;7391883279458;
506 37 96-25;BUSSNING D25.4;;0;78.0;;7391883279465;
506 38 08-14;LJUDDÄMPARE;;0;373.0;;7391883279472;
506 38 09-01;LAGERHÅLLARE;;0;739.0;;7391883279489;
506 38 11-01;LOCK, LAGERHÅLLARE;;0;48.0;;7391883279496;
506 38 15-01;VÄRMESKÖLD;;0;40.0;;7391883279502;
506 38 21-02;LOCK;;0;30.0;;7391883279519;
506 38 22-01;KNOB;;0;85.0;;7391883279526;
506 38 22-02;VRED;;0;383.0;;7392930602519;
506 38 26-01;KOMBINATIONSVERKTYG;;0;103.0;;7391883279533;
506 38 37-02;L-NYCKEL;;0;13.5;;7391883279571;
506 38 46-02;KOLV KPL;;0;957.0;;7391883279618;
506 38 49-02;FETTSPRUTA;;0;718.0;;7392930600218;
506 38 54-01;KNOPP;;0;39.0;;7391883279625;
506 38 60-03;VENTIL KPL;;0;184.0;;7391883279670;
506 38 60-04;VENTIL KPL;;0;175.0;;7391883279687;
506 38 60-05;VENTIL KPL;;0;79.0;;7392930152267;
506 38 60-11;VENTIL KPL;;0;129.0;;7391883279694;
506 38 60-12;VENTIL KPL;;0;151.0;;7391883279700;
506 38 62-01;KÅPA KYLLUFT KOMPL.;;0;221.0;;7391883279717;
506 38 66-01;TANK VENT ASSY;;0;112.0;;7391883279748;
506 38 67-02;MARKSTÖD;;0;40.0;;7392930602359;
506 38 69-01;VIBRATIONSDÄMPARE;;0;119.0;;7391883279762;
506 38 71-02;STOPP;;0;48.0;;7392930602304;
506 38 77-01;SPÄNNSKRUV;;0;46.0;;7391883279809;
506 38 78-34;TÄNDKABEL;;0;98.0;;7391883279816;
506 38 80-01;SLANG KPL;;0;354.0;;7391883279823;
506 38 85-02;SERVICEVERKTYG LAGER;;0;860.0;;7391883218921;
506 38 89-02;MARKSTÖD;;0;29.0;;7392930603035;
506 38 97-01;PINNE VREDSTOPP KPL;;0;121.0;;7391883279915;
506 39 30-01;BRICKA VEVAXEL;;0;82.0;;7391883279939;
506 39 36-02;REMSKYDD;;0;295.0;;7392930602700;
506 39 46-02;LOCK, TANK, GREY;;0;29.0;;7392930602366;
506 39 48-01;HANDTAGSHALVA VÄ;;0;279.0;;7391883280034;
506 39 48-02;HANDTAGSHALVA;;0;323.0;;7392930605787;
506 39 49-02;VIKT;;0;247.0;;7392930603172;
506 39 54-01;HYLSA;;0;24.0;;7391883280089;
506 39 55-01;KÅPA;;0;79.0;;7391883280096;
506 39 56-01;KÅPA;;0;70.6;;7391883280102;
506 39 57-01;MEMBRAN;;0;114.0;;7391883280119;
506 39 58-01;PACKNING;;0;13.0;;7391883280126;
506 39 61-01;MUNSTYCKE;;0;125.0;;7391883280140;
506 39 62-01;PACKNING;;0;13.0;;7391883280157;
506 39 64-01;TÄTNINGSRING;;0;89.0;;7391883280171;
506 39 65-01;AXEL;;0;19.0;;7391883280188;
506 39 69-01;SKRUV;;0;103.0;;7391883280218;
506 39 70-01;SKRUV;;0;103.0;;7391883280225;
506 39 71-01;AXEL AIR-HEAD;;0;151.0;;7391883280232;
506 39 72-01;SKRUV;;0;22.0;;7391883280249;
506 39 73-01;CHOKEAXEL;;0;126.0;;7391883280256;
506 39 74-01;AXEL GASSPJÄLL;;0;135.0;;7391883280263;
506 39 75-01;FJÄDER;;0;27.0;;7391883280270;
506 39 78-01;VENTIL;;0;56.0;;7391883280294;
506 39 86-01;SLANG KOMPL.;;0;31.0;;7391883280324;
506 39 88-01;STÄLLMUTTER;;0;290.0;;7391883280331;
506 39 90-01;O-RING;;0;80.0;;7391883280348;
506 39 91-01;PLUGG;;0;17.0;;7391883280355;
506 39 95-01;TÄTNING;;0;151.0;;7391883280362;
506 39 96-02;SKÄRM;;0;70.0;;7391883280386;
506 40 12-01;STYRSTIFT;;0;98.4;;7392930193000;
506 40 13-01;BUSSNING;;0;121.0;;7391883280393;
506 40 24-01;MUTTER;;0;104.0;;7391883280409;
506 40 25-02;SKRUV;;0;90.0;;7391883589526;
506 40 28-02;LAGERHÅLLARE;;0;472.0;;7391883280430;
506 40 29-02;BUSSNING;;0;150.0;;7391883280447;
506 40 32-02;DRIVHJUL;;0;514.0;;7391883583203;
506 40 34-01;SPÄNNTÄRNING;;0;58.0;;7391883280478;
506 40 35-01;HANDTAG;;0;547.0;;7391883280485;
506 40 35-02;HANDTAG;;0;721.0;;7391883280492;
506 40 37-01;BUSSNING;;0;107.0;;7391883280508;
506 40 43-02;LAGERHUS KPL, ORANGE K2500;;0;660.0;;7391883280539;
506 40 46-01;SKYDD;;0;709.0;;7391883280546;
506 40 46-03;WEAR PROTECTION;;0;617.0;;7393089152184;
506 40 50-02;REMSKYDD;;0;243.0;;7391883280577;
506 40 51-01;STOPP KLINGSKYDD;;0;52.0;;7391883280584;
506 40 54-02;KOPPLINGSKÅPA;;0;112.0;;7391883280614;
506 40 55-03;BELT GUARD  MASKERAD;;0;530.0;;7393089357527;
506 40 56-01;UTSLAGSBEGRÄNSARE;;0;35.0;;7391883280645;
506 40 56-02;UTSLAGSBEGRÄNSARE;;0;47.0;;7391883280652;
506 40 57-02;GENOMFÖRING;;0;31.0;;7391883280676;
506 40 60-01;FJÄDER;;0;32.0;;7391883280706;
506 40 61-01;FJÄDER;;0;33.0;;7391883280713;
506 40 61-02;FJÄDER;;0;34.0;;7391883280720;
506 40 63-02;STÄNKSKYDD;;0;58.0;;7391883280768;
506 40 64-01;KLINGSKYDD ÖVRE;;0;50.0;;7391883280775;
506 40 64-03;KLINGSKYDD;;0;99.0;;7391883280782;
506 40 65-01;KLINGSKYDD NEDRE;;0;50.0;;7391883280799;
506 40 65-02;KLINGSKYDD;;0;49.0;;7391883280805;
506 40 93-01;MUTTER;;0;18.0;;7391883280812;
506 40 98-02;NIPPEL;;0;51.0;;7391883280836;
506 40 99-02;PACKNINGSSATS;;0;112.0;;7393080629753;
506 41 00-01;REPARATIONSSATS;;0;474.0;;7391883280850;
506 41 00-04;PACKN.SATS FÖRGASARE;;0;114.0;;7393080629760;
506 41 23-01;PACKNING, LJUDDÄMPARE;;0;58.0;;7391883280867;
506 41 32-02;KOLV;;0;1073.0;;7391883280874;
506 41 34-04;LAGERHUS KPL;;0;725.0;;7393080433831;
506 41 39-01;PACKNING;;0;37.4;;7391883590683;
506 41 39-04;PACKNING, VEVHUS;;0;28.47;;7393080768834;
506 41 41-01;INSUGSRÖR;;0;161.0;;7391883280911;
506 41 42-01;PLATTA;;0;156.0;;7391883280928;
506 41 44-01;KOPP;;0;101.0;;7391883280935;
506 44 93-01;SPÅRRING;;0;5.6;;7391883694565;
506 44 94-01;KOLVRING;;0;85.6;;7391883590966;
506 44 96-01;LAGER;;0;55.2;;7393089154416;
506 45 02-01;KABLAGE KPL;;0;175.2;;7393080901507;
506 45 04-01;FÖRGASARE;;0;781.6;;7391883280942;
506 45 05-01;FÖRGASARE;;0;642.4;;7391883280959;
506 48 61-01;FLÖDESKONTROLL;;0;27.0;;7391883280966;
506 48 83-01;HYDRAULRÖR;;0;362.4;;7391883570364;
506 48 86-01;HYDRAULRÖR;;0;461.6;;7391883570395;
506 48 87-01;BRICKA;;0;26.4;;7391883280973;
506 49 25-01;HANDSKYDD;;0;139.2;;3015272236474;
506 49 26-01;HANDTAG FRÄMRE;;0;512.0;;3015272237204;
506 49 28-02;TÄNDMODUL;;0;430.4;;7393080430786;
506 49 28-03;TÄNDMODUL;;0;430.4;;7393080430793;
506 49 32-01;AXEL, RING CUTTER, GUIDE ROLLE;;0;90.0;;7391883280997;
506 49 32-02;AXEL, RING CUTTER, SUPPORT ROL;;0;194.0;;7391883281000;
506 49 33-03;KÅPA, RING SPARE K960/950 DIE-;;0;3125.0;;7393080433848;
506 49 34-01;LAGERHÅLLARE, NUT, 1-TRACK;;0;2427.0;;7391883281024;
506 49 40-01;CHASSI ÖVRE;;0;279.2;;7391883205426;
506 49 43-01;CHASSI NEDRE;;0;311.2;;7391883205433;
506 49 43-02;CHASSI NEDRE;;0;332.8;;7391883205440;
506 49 43-03;CHASSI NEDRE;;0;344.8;;7391883205457;
506 49 50-01;GASREGLAGE;;0;52.8;;7391883591796;
506 49 50-02;GASREGLAGE;;0;28.0;;7391883583104;
506 49 51-01;GASSPÄRR;;0;44.8;;7391883591734;
506 49 51-02;GASSPÄRR;;0;6.4;;7391883586808;
506 49 52-03;HANDTAG;;0;128.8;;7393089041631;
506 49 56-01;GASREGLAGE;;0;37.6;;7391883684641;
506 49 57-01;GASSPÄRR;;0;44.8;;7391883684658;
506 49 58-01;GASVAJER KPL;;0;60.8;;7391883684665;
506 49 70-02;RAMRÖR;;0;3073.0;;7391883281055;
506 49 73-01;PLATTA;;0;121.0;;7391883281062;
506 49 77-01;GASREGLAGE;;0;52.8;;7391883281086;
506 49 77-02;GASREGLAGE;;0;48.8;;7391883205464;
506 49 87-01;SLANGKLÄMMA;;0;29.0;;7391883281093;
506 49 87-04;HOSE CLAMP INGÅR I KIT;;0;28.0;;7393080694461;
